"Gross Output by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 16, 2021"
"Line","","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    All industries",6175.0,6631.0,7313.8,7775.7,8031.0,8707.5,9434.2,10069.8,10624.6,10808.0,11381.0,12024.4,12826.8,13653.2,14463.4,15393.3
"    2","Private industries",5468.1,5868.2,6496.1,6883.4,7075.2,7702.6,8366.9,8919.9,9386.8,9490.3,9998.7,10592.7,11334.5,12104.9,12864.4,13728.2
"    3","  Agriculture, forestry, fishing, and hunting",171.2,156.2,182.0,172.5,165.7,175.1,183.2,202.0,211.2,205.5,217.1,218.7,237.7,232.7,255.6,257.9
"    4","    Farms",147.0,130.0,154.9,147.7,139.2,147.1,153.7,171.9,179.9,175.3,182.6,182.2,197.5,191.9,215.8,219.4
"    5","    Forestry, fishing, and related activities",24.2,26.2,27.1,24.8,26.5,28.0,29.6,30.1,31.3,30.2,34.5,36.5,40.2,40.8,39.8,38.5
"    6","  Mining",215.5,193.2,207.4,193.3,130.1,134.0,135.5,141.7,160.1,152.4,145.2,145.1,143.3,142.2,167.9,176.9
"    7","    Oil and gas extraction",124.3,118.1,125.8,117.8,69.7,75.6,68.8,74.6,87.3,78.6,76.8,78.1,72.9,72.3,96.1,98.5
"    8","    Mining, except oil and gas",42.3,42.3,47.3,44.9,43.0,43.8,49.1,50.5,53.2,53.6,52.5,49.1,53.9,54.9,55.2,56.2
"    9","    Support activities for mining",48.8,32.8,34.3,30.6,17.4,14.6,17.5,16.6,19.6,20.2,15.9,17.8,16.4,15.0,16.5,22.1
"    10","  Utilities",160.8,178.9,182.0,177.2,160.7,183.1,191.6,204.0,208.3,219.3,226.9,239.1,242.1,244.0,255.5,262.0
"    11","  Construction",295.8,332.9,392.5,432.0,465.6,493.9,509.1,523.9,530.3,490.9,515.1,545.3,587.7,613.7,666.8,709.1
"    12","  Manufacturing",1910.8,2001.7,2200.1,2228.1,2207.1,2412.6,2628.3,2774.4,2836.5,2796.0,2922.3,3052.6,3282.8,3541.2,3667.9,3898.0
"    13","    Durable goods",967.2,1030.3,1170.1,1198.6,1212.6,1299.5,1423.1,1481.9,1486.0,1443.2,1531.9,1630.4,1796.2,1945.8,2031.3,2189.8
"    14","      Wood products",32.8,38.3,42.8,42.6,45.4,54.4,56.0,57.5,57.0,53.8,62.0,72.1,79.9,81.2,83.3,88.8
"    15","      Nonmetallic mineral products",43.1,46.5,50.9,52.6,54.9,61.3,62.6,63.3,63.5,59.6,62.2,65.1,70.7,75.7,81.8,85.9
"    16","      Primary metals",104.7,108.0,116.5,106.6,101.6,110.2,137.4,142.3,136.1,124.2,125.2,129.7,145.3,163.1,161.4,168.3
"    17","      Fabricated metal products",131.1,130.0,142.1,144.1,143.4,148.4,162.9,169.5,172.9,168.5,174.6,181.9,200.2,219.3,230.4,243.9
"    18","      Machinery",132.9,121.3,139.5,145.1,141.5,150.7,168.5,183.9,184.6,178.5,181.6,197.4,220.1,243.9,254.6,269.8
"    19","      Computer and electronic products",155.9,169.3,202.6,208.5,207.2,225.0,246.0,250.5,259.8,262.0,278.7,293.2,330.9,386.5,417.0,461.1
"    20","      Electrical equipment, appliances, and components",54.1,57.6,65.5,66.7,68.0,72.3,77.9,82.2,81.1,77.3,83.0,89.1,97.1,102.9,106.5,111.1
"    21","      Motor vehicles, bodies and trailers, and parts",148.0,185.7,224.1,231.2,234.9,245.6,265.1,276.1,255.8,246.2,283.0,319.7,374.5,391.4,397.4,431.0
"    22","      Other transportation equipment",94.4,100.6,105.5,118.5,129.7,131.7,138.9,143.8,156.7,154.5,154.6,145.5,133.6,128.4,136.8,155.6
"    23","      Furniture and related products",25.8,28.7,32.8,34.2,36.2,41.5,42.8,44.6,44.8,42.3,46.2,48.9,52.5,55.0,57.0,63.6
