"Gross Output by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Line","","","","","","","","","","","","","","","","","","","","",""
"1","        All industries",15393.3,16216.8,17270.7,18625.2,18881.2,19170.8,20138.0,21688.9,23514.7,24924.7,26245.0,27023.5,24954.6,26475.7,28045.9,29222.8,30350.1,31756.4,32183.1,32855.1
"2","Private industries",13728.2,14487.0,15436.4,16674.5,16801.2,16955.2,17795.5,19210.0,20892.1,22148.0,23312.5,23902.5,21728.0,23139.7,24682.0,25833.6,26923.1,28264.0,28616.2,29205.3
"3","    Agriculture, forestry, fishing, and hunting",257.9,249.8,245.3,243.6,251.4,241.9,269.3,308.6,300.2,304.0,349.4,372.6,339.0,366.6,429.5,451.1,486.2,497.4,456.4,432.3
"4","        Farms",219.4,207.8,199.9,204.3,212.3,202.4,227.9,263.2,253.6,256.2,304.8,327.9,297.7,320.9,380.3,404.2,436.9,441.7,402.9,379.7
"5","        Forestry, fishing, and related activities",38.5,41.9,45.4,39.3,39.0,39.5,41.4,45.4,46.6,47.8,44.6,44.8,41.3,45.7,49.2,46.9,49.3,55.8,53.5,52.6
"6","    Mining",176.9,151.5,156.1,218.6,226.6,196.0,252.9,300.1,394.5,445.2,476.3,614.6,404.9,500.1,601.8,613.5,663.4,746.0,496.0,388.4
"7","        Oil and gas extraction",98.5,72.7,85.5,143.0,142.3,116.7,166.0,191.0,249.3,257.4,276.9,388.4,227.6,304.7,372.9,362.7,426.4,476.0,269.0,230.5
"8","        Mining, except oil and gas",56.2,55.4,53.1,54.7,55.1,54.4,57.4,67.3,84.3,100.8,104.5,116.2,104.9,112.7,130.9,124.7,114.6,117.3,106.2,96.1
"9","        Support activities for mining",22.1,23.4,17.5,20.9,29.2,24.8,29.5,41.7,61.0,86.9,94.9,110.0,72.4,82.7,98.0,126.2,122.5,152.6,120.8,61.8
"10","    Utilities",262.0,268.1,314.8,373.2,446.5,325.2,343.2,351.8,416.2,422.0,451.6,524.9,436.5,494.5,484.9,461.5,491.7,537.6,513.8,498.6
"11","    Construction",709.1,779.6,841.6,913.9,956.9,969.7,1039.5,1158.1,1287.1,1353.6,1339.1,1275.8,1099.0,1016.7,1020.5,1074.6,1155.7,1258.8,1386.1,1495.2
"12","    Manufacturing",3898.0,3962.5,4079.7,4290.2,4046.2,3970.5,4049.0,4360.5,4803.2,5092.6,5403.4,5493.0,4510.6,5018.8,5594.6,5772.7,5940.2,6026.0,5703.5,5543.0
"13","        Durable goods",2189.8,2278.8,2356.1,2435.0,2240.2,2164.3,2174.1,2313.8,2494.9,2638.8,2769.5,2686.3,2151.6,2382.2,2600.8,2701.0,2790.4,2906.6,2900.1,2821.4
"14","            Wood products",88.8,91.8,98.1,95.0,88.0,90.2,92.7,106.1,114.8,114.6,103.3,89.1,65.9,71.9,73.0,80.8,90.6,97.6,101.0,104.7
"15","            Nonmetallic mineral products",85.9,91.6,95.7,97.7,94.4,95.3,96.5,102.4,113.2,125.8,128.5,114.4,90.0,92.4,94.1,99.6,106.3,113.6,119.1,124.8
"16","            Primary metals",168.3,166.6,156.6,155.7,136.9,139.2,137.7,181.9,202.5,233.1,256.3,280.3,167.1,235.7,281.5,269.2,263.2,265.6,227.1,203.6
"17","            Fabricated metal products",243.9,254.7,257.3,269.2,252.6,246.9,244.3,260.3,287.9,316.7,342.8,357.8,280.2,295.6,326.8,343.5,350.6,360.7,352.0,340.6
"18","            Machinery",269.8,278.0,275.9,294.6,264.8,246.8,250.1,265.8,298.9,323.7,346.8,353.9,285.2,318.7,369.1,404.8,397.0,408.9,378.8,352.6
"19","            Computer and electronic products",461.1,464.7,486.4,548.7,461.2,390.2,387.8,398.2,407.7,425.9,444.3,423.2,350.2,358.8,361.7,354.2,352.6,348.0,348.2,346.4
"20","            Electrical equipment, appliances, and components",111.1,114.7,116.9,125.1,110.5,100.9,97.9,102.4,108.7,117.2,126.3,126.9,102.7,108.6,117.8,122.8,123.5,126.5,126.0,121.2
"21","            Motor vehicles, bodies and trailers, and parts",431.0,447.7,503.0,482.3,458.3,476.7,487.9,507.5,522.5,525.2,512.8,424.8,342.4,434.6,498.8,513.8,565.6,628.9,676.1,686.4
"22","            Other transportation equipment",155.6,184.0,180.3,161.9,181.3,175.8,172.1,176.9,206.0,214.0,263.6,269.3,248.0,249.0,258.8,290.7,306.2,325.1,332.0,309.4
"23","            Furniture and related products",63.6,68.4,70.8,75.9,73.1,75.6,75.3,78.4,84.3,86.4,85.6,77.0,59.5,57.3,57.3,65.8,67.3,69.0,73.7,74.3
"24","            Miscellaneous manufacturing",110.8,116.4,115.1,129.0,119.0,127.0,131.8,134.0,148.4,156.2,159.2,169.6,160.4,159.7,162.0,155.7,167.5,162.8,166.2,157.4
"25","        Nondurable goods",1708.1,1683.7,1723.6,1855.2,1806.0,1806.2,1874.9,2046.8,2308.3,2453.8,2633.8,2806.7,2358.9,2636.6,2993.8,3071.7,3149.8,3119.4,2803.3,2721.6
"26","            Food and beverage and tobacco products",531.8,540.2,538.2,557.1,576.4,568.7,599.8,630.0,661.1,667.6,720.6,778.6,772.6,800.3,856.0,895.9,920.0,948.8,946.2,945.9
"27","            Textile mills and textile product mills",89.1,87.7,86.6,85.1,76.6,75.4,72.3,73.7,77.0,71.7,64.4,56.5,46.3,49.8,52.9,51.7,54.0,55.8,53.5,52.3
"28","            Apparel and leather and allied products",87.2,79.0,76.0,75.3,58.8,50.9,44.9,39.2,40.3,39.2,29.8,26.7,24.4,23.3,24.9,19.2,19.6,19.1,18.6,19.0
"29","            Paper products",149.2,153.2,155.6,163.7,155.0,152.5,148.7,153.0,160.1,167.5,174.2,177.4,160.5,169.4,175.6,179.0,183.8,184.6,182.9,177.0
"30","            Printing and related support activities",98.4,101.0,103.8,107.2,104.1,99.7,95.4,96.3,99.0,100.7,103.5,99.2,84.0,83.8,84.2,83.1,83.3,82.4,82.2,85.7
"31","            Petroleum and coal products",175.7,136.6,160.5,233.0,218.1,214.2,246.0,325.0,462.1,536.9,606.4,733.6,482.4,607.7,816.9,833.5,833.8,767.1,500.8,433.0
"32","            Chemical products",417.6,422.3,430.5,454.8,446.7,471.4,491.6,546.7,610.7,660.3,728.7,735.8,620.9,715.7,782.3,792.8,830.9,830.4,785.5,778.0
"33","            Plastics and rubber products",159.0,163.6,172.5,179.1,170.4,173.4,176.2,183.0,198.1,209.8,206.2,198.9,167.8,186.6,201.0,216.5,224.5,231.2,233.5,230.8
"34","    Wholesale trade",747.2,772.7,826.2,880.5,860.3,891.9,929.2,1019.3,1107.7,1196.8,1270.9,1327.1,1154.8,1359.2,1530.8,1655.0,1734.8,1819.1,1850.8,1852.2
"35","    Retail trade",857.3,892.2,953.7,1000.0,992.3,1045.3,1108.0,1190.6,1239.7,1302.1,1334.0,1277.2,1207.7,1299.7,1335.9,1403.5,1480.0,1551.0,1645.2,1712.7
"36","        Motor vehicle and parts dealers",174.7,174.7,196.4,195.4,176.6,208.9,211.3,217.2,211.9,214.6,215.8,184.5,147.8,196.9,198.8,221.9,235.8,254.2,279.1,299.9
"37","        Food and beverage stores",129.4,133.5,140.4,141.5,152.6,153.9,159.0,168.2,175.2,185.0,188.2,194.1,190.7,197.1,203.8,207.7,210.7,218.4,228.0,232.5
"38","        General merchandise stores",116.5,123.5,131.7,136.3,139.0,139.5,157.1,172.7,181.1,186.5,198.4,200.7,207.3,215.1,212.4,210.7,216.7,223.0,230.2,230.6
"39","        Other retail",436.7,460.6,485.2,526.9,524.0,543.0,580.6,632.4,671.5,715.9,731.6,698.0,661.9,690.6,721.0,763.2,816.8,855.4,907.9,949.6
"40","    Transportation and warehousing",499.4,527.4,558.5,600.2,591.9,595.5,628.2,692.4,752.7,820.8,866.2,905.4,781.8,859.4,958.8,1006.5,1043.9,1115.6,1124.3,1130.8
"41","        Air transportation",114.3,115.6,120.5,134.0,118.3,111.4,122.0,132.1,141.8,152.1,160.7,170.9,146.6,163.5,194.2,195.4,201.3,211.2,211.3,210.2
"42","        Rail transportation",38.2,38.1,38.7,39.3,39.8,40.5,41.4,45.7,51.5,58.1,60.7,68.4,54.7,66.4,75.8,79.1,82.4,88.6,82.0,75.1
"43","        Water transportation",24.8,24.8,25.9,27.3,27.0,26.0,30.2,35.3,38.0,42.4,47.6,51.4,43.3,47.5,49.5,50.6,50.6,54.2,51.1,49.7
"44","        Truck transportation",162.0,174.1,185.8,198.5,199.3,203.1,208.9,231.0,255.9,272.8,279.0,283.7,231.4,251.5,278.4,297.8,307.4,333.5,332.6,331.4
"45","        Transit and ground passenger transportation",24.3,26.5,26.3,26.1,26.9,27.4,28.1,33.4,37.1,42.4,45.0,45.1,44.9,45.1,49.2,51.0,55.6,61.8,65.8,67.5
"46","        Pipeline transportation",24.3,24.1,24.1,23.2,22.7,22.2,22.4,23.0,22.8,24.2,25.7,31.2,27.3,31.2,35.0,36.4,38.8,41.8,43.7,44.5
"47","        Other transportation and support activities",85.2,95.5,106.1,118.1,121.5,125.2,130.0,142.1,152.3,167.2,178.5,177.8,154.9,165.7,179.1,187.2,194.9,208.2,217.8,223.0
"48","        Warehousing and storage",26.3,28.6,31.1,33.8,36.3,39.7,45.3,49.7,53.2,61.5,69.0,76.9,78.6,88.5,97.6,108.9,112.9,116.2,120.1,129.4
"49","    Information",730.6,808.4,913.3,1008.5,1039.2,1045.1,1049.0,1084.6,1131.8,1183.9,1220.7,1255.0,1219.7,1268.9,1324.7,1382.5,1437.5,1512.5,1577.9,1683.3
