"Chain-Type Price Indexes for Value Added by Industry"
"[2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Line","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",74.399,75.219,76.272,78.016,79.814,81.013,82.635,84.842,87.490,90.212,92.653,94.397,95.019,96.164,98.157,100.000,101.769,103.662,104.662,105.703
"2","Private industries",75.279,76.085,76.975,78.538,80.236,81.143,82.676,84.804,87.417,89.911,92.453,94.195,94.514,95.759,97.926,100.000,101.888,103.623,104.400,105.446
"3","    Agriculture, forestry, fishing, and hunting",78.163,73.560,66.267,61.323,64.509,59.782,66.028,76.662,66.007,63.370,82.025,82.202,65.381,75.642,97.221,100.000,103.264,95.368,81.194,70.708
"4","        Farms",75.501,70.160,62.147,56.301,62.399,56.835,64.275,76.412,63.336,59.602,80.534,81.119,60.803,71.433,96.842,100.000,103.022,93.103,76.448,63.977
"5","        Forestry, fishing, and related activities",90.677,89.833,89.469,88.821,77.891,76.723,77.600,80.965,83.413,86.487,91.565,89.836,90.382,98.479,99.141,100.000,104.635,108.828,109.249,110.935
"6","    Mining",36.259,29.950,31.955,47.109,45.504,40.172,56.022,66.712,88.924,93.271,99.438,128.335,78.751,98.851,111.025,100.000,103.671,100.613,57.996,51.045
"7","        Oil and gas extraction",27.126,19.156,23.727,49.614,47.203,37.714,62.105,76.129,106.447,107.346,114.372,159.000,74.989,103.870,119.834,100.000,107.921,103.650,43.522,36.137
"8","        Mining, except oil and gas",34.834,32.772,31.244,30.821,31.289,33.180,34.829,41.429,52.368,61.777,67.665,77.857,83.348,92.295,101.683,100.000,91.050,87.612,80.558,78.923
"9","        Support activities for mining",89.250,95.880,81.058,73.747,69.954,69.566,70.959,72.100,79.827,86.346,89.365,94.896,88.930,90.758,94.599,100.000,101.771,103.334,104.038,99.271
"10","    Utilities",74.845,74.781,70.626,69.781,84.381,79.900,84.257,85.979,90.086,96.889,97.000,96.170,108.884,104.787,104.094,100.000,103.521,112.039,112.328,107.578
"11","    Construction",49.204,52.624,55.588,59.012,63.412,66.493,69.559,74.762,82.961,90.568,95.884,96.421,98.006,95.879,97.346,100.000,103.593,110.115,114.912,119.033
"12","    Manufacturing",97.321,96.701,95.354,92.599,91.701,90.575,89.028,87.732,89.643,89.820,89.397,89.117,92.847,92.954,96.266,100.000,100.284,101.473,104.142,103.068
"13","        Durable goods",141.872,135.374,130.143,123.167,118.337,115.813,111.671,109.254,108.016,105.268,103.190,99.575,102.581,99.658,98.287,100.000,101.299,102.604,105.373,105.486
"14","            Wood products",107.423,109.223,118.469,111.725,111.532,110.336,116.788,134.705,131.530,122.146,107.341,101.203,98.546,101.668,93.098,100.000,115.363,127.804,122.577,125.093
"15","            Nonmetallic mineral products",81.573,84.377,87.850,86.844,86.081,88.279,86.044,86.844,91.896,101.482,101.026,95.554,102.635,99.152,96.007,100.000,104.428,108.211,117.921,124.852
"16","            Primary metals",91.079,86.731,76.992,77.514,70.680,70.927,69.329,88.559,98.635,120.739,126.544,128.646,82.349,100.119,110.835,100.000,89.741,94.120,80.414,71.727
"17","            Fabricated metal products",74.576,77.474,79.751,78.019,79.846,79.872,78.308,79.487,82.978,82.564,84.509,88.053,102.692,95.520,95.376,100.000,103.511,103.304,109.421,111.459
"18","            Machinery",83.282,85.737,88.039,87.104,89.668,90.185,89.359,86.265,88.261,88.138,90.015,89.779,100.402,96.273,95.711,100.000,104.259,107.170,113.054,115.879
"19","            Computer and electronic products",679.166,524.141,414.522,333.867,267.670,244.660,213.086,189.755,173.479,153.138,135.792,118.493,111.557,105.755,102.192,100.000,98.462,96.295,94.747,92.103
"20","            Electrical equipment, appliances, and components",83.369,86.614,86.427,84.068,85.789,84.714,81.951,80.502,82.007,84.381,88.063,90.457,99.078,96.201,94.662,100.000,101.314,101.551,103.633,103.096
"21","            Motor vehicles, bodies and trailers, and parts",137.318,136.335,139.505,138.194,137.880,131.562,128.338,121.082,112.187,100.013,97.742,90.725,110.433,101.908,94.634,100.000,102.025,105.915,118.647,120.601
"22","            Other transportation equipment",65.828,68.109,70.816,74.670,79.090,80.186,83.539,85.188,87.630,90.005,91.265,92.094,96.924,97.051,98.170,100.000,102.279,104.443,107.139,108.320
"23","            Furniture and related products",76.739,80.458,82.241,83.718,86.730,88.585,88.113,83.595,86.187,86.674,89.775,89.930,101.391,96.584,95.854,100.000,100.298,101.145,106.748,109.321
"24","            Miscellaneous manufacturing",95.722,98.194,98.904,97.116,99.618,101.330,101.303,98.552,96.800,96.129,96.934,95.233,100.353,98.627,98.141,100.000,101.611,101.433,104.959,105.936
"25","        Nondurable goods",59.563,62.851,64.305,64.854,66.979,66.955,67.490,67.137,71.594,74.342,75.435,78.326,82.688,85.581,93.880,100.000,99.050,100.100,102.645,100.120
"26","            Food and beverage and tobacco products",59.799,62.498,71.254,72.664,76.316,81.455,80.191,77.161,78.516,76.534,75.907,82.232,96.191,95.510,92.378,100.000,101.679,105.978,111.593,116.007
"27","            Textile mills and textile product mills",95.517,99.724,96.692,90.960,91.726,91.068,85.989,83.052,82.106,83.423,83.773,83.001,90.744,93.511,102.228,100.000,99.100,100.854,103.834,105.530
"28","            Apparel and leather and allied products",106.208,110.242,113.733,110.983,109.426,108.753,107.053,104.129,101.508,99.157,98.830,97.894,102.626,98.021,96.783,100.000,101.998,103.500,108.041,110.018
"29","            Paper products",71.977,78.147,78.876,87.782,86.770,85.171,81.852,79.320,79.741,84.094,86.086,88.923,97.880,100.973,100.151,100.000,105.559,105.513,109.378,109.403
"30","            Printing and related support activities",104.458,110.856,116.363,115.987,113.046,106.473,105.762,104.960,107.414,110.644,109.713,105.312,107.293,105.051,100.512,100.000,99.766,100.894,107.014,107.943
