country,Compensation of Employees
All Countries Total,555862
Canada,63497
Europe,284567
  Austria,3671
  Belgium,11907
  Czech Republic,2204
  Denmark,3337
  Finland,1517
  France,34192
  Germany,49963
  Greece,987
  Hungary,1664
  Ireland,8158
  Italy,15018
  Luxembourg,1225
  Netherlands,16913
  Norway,5020
  Poland,4014
  Portugal,1311
  Russia,4296
  Spain,10591
  Sweden,5578
  Switzerland,11414
  Turkey,2051
  United Kingdom,85998
  Other,3538
Latin America and Other Western Hemisphere,59647
  South America,38063
    Argentina,5040
    Brazil,22633
    Chile,3520
    Colombia,2372
    Ecuador,345
    Peru,1208
    Venezuela,2471
    Other,475
  Central America,19720
    Costa Rica,919
    Honduras,388
    Mexico,17356
    Panama,435
    Other,622
  Other Western Hemisphere,1863
    Barbados,36
    Bermuda,697
    Dominican Republic,221
"    United Kingdom Islands, Caribbean",294
    Other,615
Africa,7501
  Egypt,741
  Nigeria,931
  South Africa,3388
  Other,2441
Middle East,7556
  Israel,4267
  Saudi Arabia,1047
  United Arab Emirates,1471
  Other,771
Asia and Pacific,133095
  Australia,26863
  China,17895
  Hong Kong,8073
  India,13367
  Indonesia,2316
  Japan,32303
  Malaysia,2965
  New Zealand,1479
  Philippines,2290
  Singapore,10763
  South Korea,6890
  Taiwan,2813
  Thailand,2771
  Other,2307
Addenda:,
  European Union,260666
  OPEC,7575
