"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Country Only (All Countries)  (Millions of Dollars) <br/>"
"","Total Assets"
"","2012"
"All Countries Total",21700169              
"Canada",1348630               
"Europe",13070966              
"  Austria",43544                  
"  Belgium",421898                 
"  Czech Republic",30095                  
"  Denmark",58745                  
"  Finland",15560                  
"  France",374171                 
"  Germany",701350                 
"  Greece",9904                   
"  Hungary",49584                  
"  Ireland",1164473               
"  Italy",173422                 
"  Luxembourg",1690470               
"  Netherlands",1950387               
"  Norway",160708                 
"  Poland",63769                  
"  Portugal",49075                  
"  Russia",72106                  
"  Spain",142652                 
"  Sweden",130428                 
"  Switzerland",684381                 
"  Turkey",22280                  
"  United Kingdom",4839978               
"  Other",221985                 
"    Albania","(D)"
"    Andorra","(D)"
"    Armenia",9                       
"    Azerbaijan",5982                   
"    Belarus","(D)"
"    Bosnia and Herzegovina",102                     
"    Bulgaria",3164                   
"    Croatia",531                     
"    Cyprus",11628                  
"    Estonia",626                     
"    Georgia",4                       
"    Gibraltar",85897                  
"    Greenland",1                       
"    Iceland",10522                  
"    Kazakhstan",71470                  
"    Kosovo","n.s."
"    Kyrgyzstan","(D)"
"    Latvia",387                     
"    Liechtenstein",579                     
"    Lithuania",297                     
"    Malta",8016                   
"    Moldova",5                       
"    Monaco",162                     
"    Montenegro","(D)"
"    North Macedonia",41                      
"    Romania",8912                   
"    San Marino","n.s."
"    Serbia",737                     
"    Slovakia",8134                   
"    Slovenia",969                     
"    Tajikistan","n.s."
"    Turkmenistan","(D)"
"    Ukraine",3654                   
"    Uzbekistan","(D)"
"    Vatican City","n.s."
"Latin America and Other Western Hemisphere",3452212               
"  South America",527757                 
"    Argentina",59451                  
"    Brazil",281762                 
"    Chile",72882                  
"    Colombia",29738                  
"    Ecuador",4373                   
"    Peru",27669                  
"    Venezuela",38522                  
"    Other",13361                  
"      Bolivia",1489                   
"      French Guiana","(D)"
"      Guyana","(D)"
"      Paraguay",1816                   
"      Suriname","(D)"
"      Uruguay",8873                   
"  Central America",433717                 
"    Costa Rica",31652                  
"    Honduras",2735                   
"    Mexico",377286                 
"    Panama",10586                  
"    Other",11457                  
"      Belize",22                      
"      El Salvador",7187                   
"      Guatemala",3109                   
"      Nicaragua",1139                   
"  Other Western Hemisphere",2490737               
"    Barbados",52009                  
"    Bermuda",1028399               
"    Dominican Republic",4790                   
"    United Kingdom Islands, Caribbean",979081                 
"    Other",426458                 
"      Anguilla",5                       
"      Antigua and Barbuda",12                      
"      Aruba",942                     
"      Bahamas",278148                 
"      Cuba","(D)"
"      Curacao",105246                 
"      Dominica","(D)"
"      French Islands, Caribbean",1346                   
"      Grenada",23                      
"      Haiti","(D)"
"      Jamaica",1955                   
"      Netherlands Antilles","n.s."
"      Netherlands Islands, Caribbean","(D)"
"      Sint Maarten","(D)"
"      St. Kitts and Nevis","(D)"
