"Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: October 29, 2019"
"Line","","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    Gross domestic product",3343.8,3634.0,4037.6,4339.0,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6
"    2","Private industries",2850.1,3107.5,3468.1,3722.5,3924.1,4160.1,4487.3,4834.7,5097.0,5234.1,5544.8,5852.2,6244.3,6563.0,6969.0,7432.0
"    3","  Agriculture, forestry, fishing, and hunting",71.7,57.3,77.0,77.0,74.1,79.3,78.7,91.7,96.1,88.0,98.6,90.5,105.3,90.7,113.6,108.6
"    4","    Farms",60.4,44.9,64.2,63.7,59.9,62.0,61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1
"    5","    Forestry, fishing, and related activities",11.3,12.3,12.9,13.3,14.2,17.2,17.3,17.8,18.3,17.6,18.8,19.2,21.7,22.3,21.0,20.5
"    6","  Mining",119.1,103.1,107.5,106.7,70.5,73.1,74.0,78.6,88.3,79.4,73.5,74.4,76.1,76.5,90.1,95.1
"    7","    Oil and gas extraction",78.3,71.0,72.7,73.6,44.4,47.5,42.8,47.6,55.5,45.9,42.2,43.1,41.8,42.4,54.5,55.1
"    8","    Mining, except oil and gas",20.5,19.4,21.4,20.0,18.4,18.7,22.7,23.0,23.6,23.7,23.6,22.2,25.3,25.2,25.8,26.5
"    9","    Support activities for mining",20.3,12.8,13.4,13.2,7.6,6.8,8.5,7.9,9.1,9.7,7.6,9.0,8.9,9.0,9.8,13.5
"    10","  Utilities",83.2,94.6,105.9,113.6,117.9,125.8,125.3,138.5,145.6,153.8,160.1,164.7,172.4,176.0,175.0,171.5
"    11","  Construction",131.0,139.2,160.3,177.3,197.5,211.0,227.8,241.0,245.9,230.0,235.0,251.4,277.7,292.9,316.3,339.6
"    12","  Manufacturing",640.9,696.9,777.0,804.1,830.8,878.8,960.4,1015.8,1035.4,1043.0,1085.5,1124.3,1193.4,1259.6,1301.5,1382.9
"    13","    Durable goods",383.2,413.1,482.6,495.7,507.2,532.5,580.6,607.7,603.7,597.5,618.7,644.6,691.4,727.9,768.0,823.8
"    14","      Wood products",10.1,13.7,15.1,15.3,17.7,19.7,19.8,20.6,19.6,18.7,19.7,22.0,24.6,25.6,25.3,26.8
"    15","      Nonmetallic mineral products",16.2,19.8,22.7,24.4,26.9,25.2,26.5,27.3,26.6,24.3,27.5,28.2,32.0,33.9,34.3,39.8
"    16","      Primary metals",34.4,30.2,36.3,31.7,33.1,33.0,41.1,44.6,41.1,37.9,38.9,39.7,43.7,47.7,46.0,48.1
"    17","      Fabricated metal products",53.9,55.3,62.8,66.6,67.2,69.5,74.2,78.2,79.8,77.6,80.3,83.9,93.4,98.8,105.4,110.0
"    18","      Machinery",67.3,62.6,69.2,69.6,65.0,69.6,80.4,88.0,89.1,83.1,85.0,86.1,90.0,95.2,96.8,102.2
"    19","      Computer and electronic products",61.7,71.0,85.1,89.7,88.9,98.5,107.9,111.8,114.8,116.8,121.3,124.9,140.7,159.7,171.9,195.3
"    20","      Electrical equipment, appliances, and components",25.0,27.8,31.7,33.1,34.0,36.0,37.7,41.6,41.9,40.8,41.7,43.0,45.5,44.3,44.3,46.9
"    21","      Motor vehicles, bodies and trailers, and parts",40.7,52.6,67.4,70.5,72.5,71.3,76.4,75.5,64.3,64.3,76.5,89.5,103.8,104.2,107.9,112.0
"    22","      Other transportation equipment",44.7,48.6,56.2,56.1,61.8,67.3,66.6,67.6,70.5,77.5,67.0,64.2,53.2,52.0,60.8,62.5
"    23","      Furniture and related products",11.0,12.8,14.9,15.8,16.8,17.8,18.6,19.6,19.0,18.3,20.0,21.7,22.5,23.2,25.4,27.9
"    24","      Miscellaneous manufacturing",18.1,18.7,21.1,22.9,23.3,24.5,31.5,33.0,37.0,38.3,40.6,41.4,41.9,43.4,49.9,52.3
"    25","    Nondurable goods",257.7,283.7,294.4,308.4,323.7,346.3,379.9,408.1,431.7,445.5,466.8,479.7,502.1,531.6,533.4,559.1
"    26","      Food and beverage and tobacco products",72.3,79.1,79.8,83.7,88.2,90.9,94.8,100.6,111.4,118.5,123.6,122.7,123.5,136.5,130.9,135.2
"    27","      Textile mills and textile product mills",15.4,17.7,18.3,18.2,19.9,21.1,22.0,23.0,23.4,23.9,26.7,27.0,27.1,26.2,26.6,27.4
"    28","      Apparel and leather and allied products",20.8,22.3,22.2,21.9,22.6,22.8,23.7,24.8,25.2,26.0,27.6,27.6,28.0,26.8,25.9,25.2
"    29","      Paper products",27.6,29.2,32.8,34.1,36.2,39.3,45.5,48.1,47.3,46.8,47.7,48.8,52.0,62.4,58.4,55.4
"    30","      Printing and related support activities",16.9,18.8,21.3,23.3,24.9,26.4,28.5,30.4,31.7,31.7,33.9,33.8,35.1,35.7,37.3,37.4
"    31","      Petroleum and coal products",18.0,19.6,17.0,20.2,20.7,21.4,29.6,31.5,35.0,33.8,33.3,38.5,36.6,33.9,36.3,47.5
"    32","      Chemical products",63.9,71.1,74.6,76.7,79.6,91.6,100.9,110.7,118.8,123.9,130.7,134.4,149.2,158.7,163.5,173.4
"    33","      Plastics and rubber products",22.8,25.9,28.4,30.1,31.5,32.9,34.9,39.0,38.8,41.0,43.5,47.1,50.6,51.4,54.6,57.6
"    34","  Wholesale trade",207.6,223.5,251.0,271.0,280.2,286.2,314.9,336.4,347.8,362.5,380.4,403.5,444.6,462.2,495.1,527.5
