"Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Line","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",8577.6,9062.8,9631.2,10251.0,10581.9,10929.1,11456.5,12217.2,13039.2,13815.6,14474.2,14769.9,14478.1,15049.0,15599.7,16254.0,16843.2,17550.7,18206.0,18695.1
"2","Private industries",7432.0,7871.5,8378.8,8927.9,9189.0,9454.7,9904.1,10585.9,11328.9,12023.6,12587.2,12788.3,12433.0,12941.0,13462.7,14094.5,14630.7,15279.3,15866.6,16310.9
"3","    Agriculture, forestry, fishing, and hunting",108.6,99.8,92.6,98.3,99.8,95.9,114.6,143.8,129.5,126.4,145.5,146.0,129.1,144.9,179.2,178.7,214.3,198.9,180.1,165.8
"4","        Farms",88.1,79.0,70.9,76.0,78.1,74.3,91.8,120.2,105.6,97.5,117.1,118.2,102.2,116.2,150.4,148.0,183.3,166.0,145.2,129.9
"5","        Forestry, fishing, and related activities",20.5,20.7,21.7,22.3,21.7,21.6,22.8,23.6,23.9,28.9,28.4,27.8,26.8,28.7,28.8,30.7,31.0,32.9,34.9,36.0
"6","    Mining",95.1,81.7,84.6,110.5,123.9,112.4,138.9,166.4,225.4,273.1,314.1,392.5,275.4,306.4,357.8,360.5,387.8,417.0,261.7,218.1
"7","        Oil and gas extraction",55.1,39.1,44.1,68.2,76.1,69.9,92.9,112.9,155.8,178.7,206.0,271.8,172.6,189.1,219.0,224.9,256.0,278.7,158.1,138.6
"8","        Mining, except oil and gas",26.5,29.0,29.4,28.5,28.1,27.3,29.2,33.6,42.8,51.8,58.0,61.3,61.5,69.7,76.7,67.0,62.3,58.9,50.0,47.4
"9","        Support activities for mining",13.5,13.6,11.1,13.8,19.7,15.2,16.9,19.9,26.8,42.6,50.1,59.4,41.3,47.6,62.0,68.6,69.4,79.5,53.6,32.1
"10","    Utilities",171.5,163.7,180.0,180.1,181.3,177.6,183.9,199.1,197.9,226.7,231.9,241.7,257.8,279.1,288.3,280.7,286.9,298.3,299.2,302.0
"11","    Construction",339.6,379.8,417.7,461.2,486.4,493.5,525.2,584.6,651.6,697.1,715.7,649.3,565.4,525.7,525.6,554.9,588.7,637.7,695.3,747.7
"12","    Manufacturing",1382.9,1430.6,1489.6,1549.8,1473.5,1468.3,1524.0,1607.8,1692.5,1793.5,1845.8,1802.1,1700.8,1799.8,1873.6,1934.7,1997.3,2053.5,2131.0,2102.9
"13","        Durable goods",823.8,850.7,875.2,924.6,833.3,832.8,863.1,905.0,956.3,1004.2,1031.0,1000.2,880.4,965.5,1017.9,1065.2,1104.5,1135.6,1184.4,1187.8
"14","            Wood products",26.8,27.5,29.4,28.3,27.2,27.3,28.7,32.6,34.7,31.7,29.1,25.6,21.2,23.3,23.7,25.8,30.5,31.0,32.5,35.3
"15","            Nonmetallic mineral products",39.8,40.8,43.2,42.6,41.3,41.8,42.0,45.3,48.8,50.5,50.3,44.8,38.8,38.4,38.9,42.7,47.2,49.6,54.7,57.5
"16","            Primary metals",48.1,49.0,46.2,47.0,40.3,41.7,39.3,55.0,56.2,62.7,64.6,68.9,41.1,50.9,62.6,65.8,62.5,64.2,60.1,56.9
"17","            Fabricated metal products",110.0,111.7,116.1,121.3,110.9,106.1,108.5,114.7,122.3,126.8,134.8,133.2,117.3,120.0,127.4,138.0,141.9,144.1,147.4,146.0
"18","            Machinery",102.2,113.8,111.1,113.1,105.3,98.9,97.4,104.1,114.4,121.9,129.6,131.7,118.5,127.3,144.9,153.0,158.5,161.1,152.5,143.8
"19","            Computer and electronic products",195.3,191.7,186.7,225.3,173.5,172.9,193.5,201.5,211.1,224.0,228.4,232.2,223.5,240.2,237.8,241.3,244.6,251.5,267.5,268.1
"20","            Electrical equipment, appliances, and components",46.9,40.6,44.6,45.7,44.3,43.7,45.5,42.1,43.2,51.4,50.3,55.5,50.6,50.8,48.3,52.2,58.1,54.4,63.7,58.5
"21","            Motor vehicles, bodies and trailers, and parts",112.0,123.9,134.8,137.5,124.9,135.2,143.1,139.1,135.9,134.0,125.0,90.3,47.8,88.8,104.5,115.8,123.1,132.8,146.3,155.5
"22","            Other transportation equipment",62.5,66.8,73.8,71.1,76.9,73.0,72.6,75.8,89.7,96.3,114.3,114.6,117.4,120.8,127.2,126.9,133.4,139.4,149.2,148.4
"23","            Furniture and related products",27.9,29.7,31.7,33.5,31.2,31.2,30.4,31.0,33.7,34.5,32.5,27.9,22.8,21.8,22.0,22.4,24.0,25.8,29.2,30.3
"24","            Miscellaneous manufacturing",52.3,55.3,57.7,59.2,57.5,61.0,62.2,63.9,66.2,70.4,72.2,75.6,81.3,83.2,80.5,81.4,80.6,81.8,81.3,87.5
"25","        Nondurable goods",559.1,579.9,614.4,625.2,640.3,635.6,660.9,702.8,736.2,789.3,814.7,801.8,820.5,834.3,855.7,869.5,892.8,917.9,946.6,915.1
"26","            Food and beverage and tobacco products",135.2,140.0,161.8,163.2,174.1,175.6,178.9,175.8,178.6,193.8,194.2,199.3,237.7,223.5,209.8,220.1,228.5,238.9,261.9,264.7
"27","            Textile mills and textile product mills",27.4,28.1,28.5,28.0,24.9,24.0,18.7,22.2,20.7,20.1,19.3,17.8,15.1,15.6,15.1,16.0,16.8,17.8,17.9,18.6
"28","            Apparel and leather and allied products",25.2,23.4,22.4,22.2,19.5,18.1,15.5,14.6,13.8,12.9,11.8,11.6,9.9,10.4,10.1,10.0,10.2,9.9,9.7,9.6
"29","            Paper products",55.4,55.9,59.4,62.2,53.5,54.1,51.0,52.7,51.7,58.0,55.7,51.4,59.2,56.4,53.8,53.2,56.5,56.8,59.7,58.4
"30","            Printing and related support activities",37.4,39.7,42.2,43.7,42.7,42.1,42.2,42.7,44.5,46.8,47.7,45.2,39.6,39.5,38.8,38.4,39.0,39.1,40.2,41.2
"31","            Petroleum and coal products",47.5,50.1,45.2,52.7,68.3,50.7,81.2,104.2,141.0,140.0,154.7,154.8,110.6,123.8,159.1,159.1,151.3,158.2,145.6,85.7
"32","            Chemical products",173.4,181.0,188.8,187.8,193.8,207.8,210.6,226.8,223.0,253.8,267.9,265.7,288.0,303.3,306.0,305.0,321.5,330.0,333.3,357.0
"33","            Plastics and rubber products",57.6,61.8,66.0,65.5,63.5,63.0,62.7,63.8,62.9,64.0,63.3,56.1,60.4,61.8,63.1,67.7,69.1,67.2,78.3,79.9
"34","    Wholesale trade",527.5,563.7,584.2,622.5,613.7,613.1,641.4,697.1,754.7,811.4,858.2,884.8,833.8,890.0,937.1,1000.3,1042.2,1089.6,1143.6,1135.8
"35","    Retail trade",579.9,626.9,652.8,685.4,709.4,732.6,769.5,795.5,840.6,869.8,869.4,848.8,827.3,852.1,873.1,910.0,950.6,975.1,1020.3,1053.0
"36","        Motor vehicle and parts dealers",118.5,123.7,135.4,138.6,132.6,147.0,149.8,152.7,158.1,160.5,162.8,144.4,125.3,141.3,148.9,161.2,172.4,181.3,192.5,201.7
"37","        Food and beverage stores",90.9,98.2,99.7,101.4,109.1,111.2,115.1,117.3,122.5,125.9,124.1,128.1,130.6,131.2,130.2,132.0,136.0,138.8,145.5,148.4
"38","        General merchandise stores",79.8,86.2,89.1,94.6,99.6,102.6,110.1,114.5,121.1,123.9,124.6,128.3,133.1,132.2,134.2,133.4,135.4,138.7,142.6,143.9
"39","        Other retail",290.7,318.8,328.7,350.8,368.1,371.8,394.6,410.9,438.9,459.6,457.9,448.0,438.4,447.4,459.8,483.3,506.8,516.3,539.7,559.0
"40","    Transportation and warehousing",257.3,280.0,290.1,307.8,308.0,305.6,321.4,352.0,375.6,410.3,414.0,427.0,404.4,433.5,452.5,473.3,492.1,522.5,566.1,582.4
"41","        Air transportation",54.7,55.2,57.7,58.1,49.2,52.0,54.6,60.8,61.7,68.0,73.2,68.7,71.6,84.3,84.8,88.1,94.2,103.0,117.7,129.2
"42","        Rail transportation",20.0,22.2,22.6,23.3,23.3,21.7,23.4,25.2,28.0,32.1,32.4,37.3,32.9,33.8,36.6,39.7,41.0,43.9,44.3,40.1
"43","        Water transportation",6.6,6.5,6.6,8.0,8.3,7.0,8.2,8.6,8.8,12.7,14.2,16.4,15.6,14.7,14.1,13.2,16.5,16.2,15.8,13.5
"44","        Truck transportation",77.1,85.6,92.4,98.0,97.2,97.1,101.4,109.1,116.9,125.5,123.7,120.5,109.5,113.5,122.0,128.4,131.1,140.8,149.1,148.9
"45","        Transit and ground passenger transportation",15.1,16.2,17.7,18.5,19.0,19.5,21.4,23.0,23.5,25.9,26.3,28.1,29.4,31.4,34.2,36.5,38.0,40.6,42.2,42.7
"46","        Pipeline transportation",7.0,9.8,10.4,9.4,16.1,10.0,10.3,10.6,9.8,10.7,13.0,16.3,14.6,20.2,21.6,25.3,27.0,30.2,36.8,39.2
"47","        Other transportation and support activities",55.9,59.8,58.1,65.8,69.1,71.7,73.3,80.9,88.8,94.6,89.9,94.4,85.6,90.5,94.0,94.9,97.1,100.0,108.1,110.9
"48","        Warehousing and storage",21.0,24.8,24.6,26.7,25.8,26.6,28.7,33.6,38.1,40.8,41.3,45.3,45.1,45.2,45.2,47.2,47.3,47.8,51.9,58.0
"49","    Information",394.1,434.6,485.3,471.2,502.3,550.5,564.8,620.3,642.0,651.9,707.5,743.8,721.4,754.9,763.0,762.7,831.4,844.4,907.8,970.3
"50","        Publishing industries, except internet (includes software)",97.2,108.2,139.1,115.9,116.1,136.9,145.6,160.6,172.6,162.2,191.8,189.2,178.3,187.1,195.3,202.2,210.8,217.8,223.7,234.5
"51","        Motion picture and sound recording industries",40.3,48.9,60.3,54.1,65.3,71.7,68.5,74.5,63.0,67.5,76.5,79.8,82.2,91.3,85.1,82.8,83.0,82.3,87.6,93.8
"52","        Broadcasting and telecommunications",226.3,241.8,256.4,276.9,281.4,280.8,287.6,311.1,334.5,340.3,374.0,391.9,374.6,375.5,367.8,372.3,405.8,394.8,426.6,446.7
"53","        Data processing, internet publishing, and other information services",30.3,35.6,29.4,24.3,39.5,61.2,63.1,74.1,71.9,81.9,65.2,82.9,86.3,101.0,114.8,105.3,131.7,149.4,169.8,195.2
"54","    Finance, insurance, real estate, rental, and leasing",1612.4,1710.1,1835.4,1974.7,2129.4,2210.0,2294.2,2392.8,2611.4,2745.2,2865.6,2816.1,2903.1,2990.4,3080.8,3289.2,3362.0,3560.7,3713.8,3883.2
"55","        Finance and insurance",577.2,637.9,674.4,744.4,800.3,811.1,846.2,877.2,981.5,1050.3,1041.6,887.3,981.0,1006.2,1033.5,1172.4,1156.5,1296.0,1384.5,1475.0
"56","            Federal Reserve banks, credit intermediation, and related activities",233.1,267.0,302.5,321.3,335.4,380.2,398.7,374.4,414.1,429.5,406.8,415.4,409.0,419.5,461.5,519.7,508.3,559.9,581.6,617.2
"57","            Securities, commodity contracts, and investments",121.3,121.1,120.5,133.4,187.7,162.6,146.6,159.7,195.7,227.1,206.3,99.9,190.4,196.7,173.4,232.8,249.5,228.1,231.0,267.4
"58","            Insurance carriers and related activities",215.6,236.7,234.4,274.4,262.0,251.2,280.7,322.2,348.3,372.5,406.0,349.4,365.7,373.4,385.4,406.9,386.1,487.4,554.6,571.6
"59","            Funds, trusts, and other financial vehicles",7.2,13.1,17.0,15.2,15.2,17.0,20.2,21.0,23.4,21.2,22.5,22.5,15.9,16.6,13.1,13.0,12.6,20.6,17.4,18.7
"60","        Real estate and rental and leasing",1035.2,1072.2,1161.1,1230.3,1329.1,1398.9,1448.0,1515.6,1629.9,1694.9,1824.0,1928.9,1922.2,1984.2,2047.3,2116.8,2205.5,2264.7,2329.3,2408.3
"61","            Real estate",929.2,959.2,1033.8,1094.5,1180.7,1252.5,1305.5,1376.9,1486.7,1526.9,1659.8,1750.2,1759.3,1823.9,1883.9,1943.0,2022.4,2073.9,2123.1,2187.6
"62","                Housing",769.8,812.3,865.5,920.6,990.1,1030.4,1065.2,1132.0,1210.7,1277.5,1346.9,1450.5,1468.7,1495.9,1523.9,1546.2,1590.1,1636.6,1686.7,1745.9
"63","                Other real estate",159.4,146.9,168.3,173.9,190.7,222.1,240.4,244.9,276.0,249.4,312.9,299.7,290.5,328.0,360.0,396.9,432.3,437.3,436.4,441.7
"64","            Rental and leasing services and lessors of intangible assets",106.0,113.0,127.3,135.8,148.3,146.4,142.5,138.7,143.2,168.0,164.3,178.6,162.9,160.3,163.3,173.8,183.1,190.9,206.2,220.6
"65","    Professional and business services",840.6,914.0,997.4,1104.9,1155.3,1189.8,1247.4,1340.9,1446.0,1546.5,1667.3,1777.9,1688.1,1768.5,1860.0,1968.9,2020.1,2120.2,2237.7,2306.2
"66","        Professional, scientific, and technical services",499.7,543.1,596.1,651.7,686.7,714.7,741.3,792.3,852.1,917.0,985.4,1082.8,1030.9,1065.1,1127.2,1191.8,1210.7,1269.0,1349.2,1395.5
"67","            Legal services",104.0,113.7,120.8,129.1,140.6,149.2,165.3,180.8,195.1,204.6,217.6,240.8,212.1,204.7,216.1,217.5,219.4,225.8,238.8,252.1
"68","            Computer systems design and related services",75.5,89.0,103.0,114.1,118.2,110.2,115.8,122.9,134.9,149.0,167.1,181.4,188.9,202.9,224.8,252.7,255.2,266.1,284.9,304.9
"69","            Miscellaneous professional, scientific, and technical services",320.2,340.4,372.4,408.5,427.9,455.3,460.3,488.6,522.1,563.5,600.7,660.6,629.9,657.5,686.2,721.6,736.1,777.1,825.6,838.5
"70","        Management of companies and enterprises",125.5,139.1,148.5,171.1,173.6,175.0,185.6,203.1,214.1,230.4,251.1,256.4,245.0,265.3,277.9,302.1,319.6,332.8,347.9,350.9
"71","        Administrative and waste management services",215.4,231.8,252.8,282.1,295.0,300.2,320.5,345.5,379.8,399.1,430.8,438.8,412.3,438.0,455.0,474.9,489.8,518.4,540.6,559.7
"72","            Administrative and support services",193.5,209.1,227.8,255.9,266.6,269.8,288.2,313.6,346.2,367.4,395.3,401.8,373.8,390.2,412.4,432.1,446.5,472.2,492.6,511.7
"73","            Waste management and remediation services",21.9,22.7,25.0,26.1,28.5,30.4,32.2,31.9,33.6,31.7,35.5,36.9,38.4,47.8,42.5,42.8,43.3,46.2,47.9,48.1
"74","    Educational services, health care, and social assistance",590.6,615.8,654.1,695.4,749.8,807.0,862.7,927.2,970.2,1035.3,1088.0,1185.0,1267.0,1311.3,1356.2,1409.3,1448.4,1492.6,1571.2,1652.6
