"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 16, 2021"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    Gross domestic product",4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6
"    2","      Compensation of employees",2723.8,2948.9,3140.9,3342.7,3453.3,3671.2,3820.6,4010.2,4202.2,4421.1,4713.2
"    3","      Taxes on production and imports less subsidies",317.3,345.0,371.4,398.0,429.6,453.3,466.4,512.7,523.1,545.5,577.8
"    4","      Gross operating surplus",1814.2,1942.6,2129.3,2222.5,2275.3,2395.8,2571.5,2764.3,2914.5,3106.5,3286.5
"    5","Private industries",4160.1,4487.3,4834.7,5097.0,5234.1,5544.8,5852.2,6244.3,6563.0,6969.0,7432.0
"    6","  Compensation of employees",2186.2,2371.2,2518.8,2668.6,2734.8,2909.1,3035.4,3196.9,3364.9,3561.5,3823.5
"    7","  Taxes on production and imports less subsidies",324.0,352.6,380.1,407.3,440.1,464.7,478.9,525.8,538.4,560.9,591.6
"    8","  Gross operating surplus",1649.9,1763.5,1935.8,2021.1,2059.2,2171.0,2337.9,2521.6,2659.6,2846.7,3016.9
"    9","  Agriculture, forestry, fishing, and hunting",79.3,78.7,91.7,96.1,88.0,98.6,90.5,105.3,90.7,113.6,108.6
"    10","    Compensation of employees",15.9,17.9,18.9,21.4,21.1,21.5,23.2,23.8,24.8,25.4,26.6
"    11","    Taxes on production and imports less subsidies",-9.8,-7.9,-5.3,-3.3,-2.4,-3.0,-6.8,-1.8,-1.1,-1.1,-1.1
"    12","    Gross operating surplus",73.2,68.7,78.0,78.0,69.3,80.1,74.1,83.4,66.9,89.4,83.1
"    13","    Farms",62.0,61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1
"    14","      Compensation of employees",9.4,10.6,11.4,13.4,13.2,13.0,14.2,14.4,15.5,16.0,17.1
"    15","      Taxes on production and imports less subsidies",-10.2,-8.4,-5.8,-3.9,-3.1,-3.7,-7.5,-2.6,-1.9,-2.0,-1.9
"    16","      Gross operating surplus",62.9,59.2,68.3,68.2,60.2,70.5,64.6,71.8,54.8,78.6,72.9
"    17","    Forestry, fishing, and related activities",17.2,17.3,17.8,18.3,17.6,18.8,19.2,21.7,22.3,21.0,20.5
"    18","      Compensation of employees",6.5,7.3,7.5,7.9,7.9,8.5,9.0,9.3,9.3,9.3,9.5
"    19","      Taxes on production and imports less subsidies",0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8
"    20","      Gross operating surplus",10.3,9.5,9.7,9.8,9.1,9.6,9.5,11.6,12.1,10.8,10.2
"    21","  Mining",73.1,74.0,78.6,88.3,79.4,73.5,74.4,76.1,76.5,90.1,95.1
"    22","    Compensation of employees",29.6,29.9,30.1,32.3,32.5,31.5,31.2,31.2,30.7,32.4,35.1
"    23","    Taxes on production and imports less subsidies",8.9,9.1,9.6,10.9,10.8,10.7,10.4,10.8,10.6,11.6,13.0
"    24","    Gross operating surplus",34.6,35.0,38.8,45.1,36.1,31.3,32.8,34.1,35.3,46.1,47.0
"    25","    Oil and gas extraction",47.5,42.8,47.6,55.5,45.9,42.2,43.1,41.8,42.4,54.5,55.1
"    26","      Compensation of employees",12.7,11.9,12.3,13.1,12.9,13.3,12.6,12.1,11.5,12.6,12.3
"    27","      Taxes on production and imports less subsidies",6.5,6.5,6.9,7.9,7.9,7.8,7.5,7.6,7.4,8.2,9.2
"    28","      Gross operating surplus",28.4,24.5,28.5,34.5,25.1,21.1,23.0,22.1,23.5,33.8,33.5
"    29","    Mining, except oil and gas",18.7,22.7,23.0,23.6,23.7,23.6,22.2,25.3,25.2,25.8,26.5
"    30","      Compensation of employees",12.0,11.9,12.3,13.0,12.4,12.3,11.8,12.4,12.7,13.2,13.8
"    31","      Taxes on production and imports less subsidies",2.2,2.3,2.4,2.6,2.5,2.6,2.5,2.8,2.8,3.0,3.0
"    32","      Gross operating surplus",4.6,8.5,8.4,8.1,8.9,8.8,7.9,10.1,9.7,9.7,9.6
"    33","    Support activities for mining",6.8,8.5,7.9,9.1,9.7,7.6,9.0,8.9,9.0,9.8,13.5
"    34","      Compensation of employees",4.9,6.2,5.6,6.3,7.2,5.9,6.7,6.6,6.5,6.6,9.0
"    35","      Taxes on production and imports less subsidies",0.3,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.7
"    36","      Gross operating surplus",1.6,2.0,2.0,2.5,2.1,1.4,1.9,1.9,2.0,2.7,3.8
"    37","  Utilities",125.8,125.3,138.5,145.6,153.8,160.1,164.7,172.4,176.0,175.0,171.5
"    38","    Compensation of employees",31.1,31.4,32.9,34.9,37.1,39.5,40.1,40.3,39.8,40.3,42.1
"    39","    Taxes on production and imports less subsidies",18.1,19.3,20.8,22.4,24.3,25.9,27.0,28.9,29.3,31.2,31.8
"    40","    Gross operating surplus",76.6,74.7,84.7,88.4,92.4,94.7,97.5,103.1,106.9,103.5,97.6
"    41","  Construction",211.0,227.8,241.0,245.9,230.0,235.0,251.4,277.7,292.9,316.3,339.6
"    42","    Compensation of employees",145.6,158.8,167.4,173.6,162.8,164.2,169.8,183.9,192.1,206.4,228.6
"    43","    Taxes on production and imports less subsidies",2.0,2.2,2.4,2.4,2.5,2.7,2.9,3.3,3.5,3.8,4.2
"    44","    Gross operating surplus",63.4,66.8,71.2,69.8,64.6,68.1,78.7,90.5,97.3,106.1,106.7
"    45","  Manufacturing",878.8,960.4,1015.8,1035.4,1043.0,1085.5,1124.3,1193.4,1259.6,1301.5,1382.9
"    46","    Compensation of employees",560.8,600.4,623.8,636.6,641.8,671.7,687.4,715.8,739.2,758.1,789.0
"    47","    Taxes on production and imports less subsidies",24.5,25.8,27.2,29.2,34.1,36.1,36.5,38.2,39.0,39.8,41.1
"    48","    Gross operating surplus",293.4,334.2,364.8,369.6,367.0,377.7,400.5,439.5,481.4,503.5,552.8
