"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",8577.6,9062.8,9631.2,10251.0,10581.9,10929.1,11456.5,12217.2,13039.2,13815.6,14474.2,14769.9,14478.1,15049.0,15599.7,16254.0,16843.2,17550.7,18206.0,18695.1
"2","            Compensation of employees",4713.2,5075.7,5409.9,5854.6,6046.3,6143.4,6362.3,6729.3,7077.7,7491.3,7889.4,8068.7,7767.2,7933.0,8234.0,8575.4,8843.6,9259.7,9709.5,9977.1
"3","            Taxes on production and imports less subsidies",577.8,603.1,628.4,662.7,669.0,718.6,756.6,821.7,881.5,945.6,982.2,997.2,968.5,1007.3,1043.7,1078.1,1128.9,1182.7,1218.0,1249.9
"4","            Gross operating surplus",3286.5,3384.0,3592.9,3733.6,3866.6,4067.1,4337.6,4666.2,5080.0,5378.8,5602.6,5704.0,5742.4,6108.7,6322.0,6600.5,6870.6,7108.3,7278.5,7468.1
"5","Private industries",7432.0,7871.5,8378.8,8927.9,9189.0,9454.7,9904.1,10585.9,11328.9,12023.6,12587.2,12788.3,12433.0,12941.0,13462.7,14094.5,14630.7,15279.3,15866.6,16310.9
"6","    Compensation of employees",3823.5,4146.9,4429.1,4811.3,4934.3,4958.0,5106.6,5406.3,5694.4,6047.1,6369.8,6475.5,6126.3,6241.3,6532.0,6871.6,7095.3,7468.7,7863.2,8089.7
"7","    Taxes on production and imports less subsidies",591.6,615.0,640.4,674.2,681.6,733.3,772.2,838.3,898.5,963.1,1000.9,1017.6,991.0,1028.1,1066.4,1100.6,1153.5,1207.9,1242.5,1275.8
"8","    Gross operating surplus",3016.9,3109.6,3309.3,3442.4,3573.1,3763.4,4025.3,4341.4,4736.1,5013.4,5216.5,5295.2,5315.7,5671.7,5864.2,6122.3,6381.9,6602.7,6760.9,6945.4
"9","    Agriculture, forestry, fishing, and hunting",108.6,99.8,92.6,98.3,99.8,95.9,114.6,143.8,129.5,126.4,145.5,146.0,129.1,144.9,179.2,178.7,214.3,198.9,180.1,165.8
"10","        Compensation of employees",26.6,27.8,29.5,30.2,31.3,31.6,31.6,34.9,34.6,38.0,41.8,42.1,42.3,41.4,41.2,48.1,48.9,51.0,50.6,53.7
"11","        Taxes on production and imports less subsidies",-1.1,-5.5,-13.0,-14.5,-14.5,-5.1,-8.0,-4.8,-14.5,-6.5,-2.6,-1.6,-1.8,-1.5,0.7,1.1,1.3,4.2,2.3,-0.5
"12","        Gross operating surplus",83.1,77.5,76.1,82.6,83.0,69.4,91.0,113.7,109.3,94.8,106.3,105.4,88.6,105.1,137.3,129.6,164.1,143.8,127.2,112.7
