year,gnpn,gdpn,gvabusn,gvabusr,gdin,cfcn,corpincn,compn,dom_profitn,gva_deflator,tradebal,goodbal,servbal,usdiaincn,usdiaincn_wocca,fdiusinc,usdiainc,income_adj_factor,poil,fdiusstks,usdiastks,usdiainc_havens,usdiainc_nhavens,usdia_havens,usdia_nhavens,total_mne_va,total_mne_dom_va,hrs
1982,3380.299,3343.789,2568.636,4649.957,3334.953,272.52,1745.861,1275.114,197.27,0.5523999469242403,-24.156,-36.485,12.33,31.343,27.865,3.291,25.991,1.1248160775165978,33.63583333333333,124.677,207.752,8.046,16.782,43.917,163.835,,,73.952
1983,3671.122,3634.038,2801.887,4896.401,3577.085,285.876,1886.483,1352.98,244.711,0.5722339734837895,-57.767,-67.102,9.335,35.311,32.308,5.265,28.747,1.0929491147703356,30.395,137.061,212.15,8.344,18.916,47.69,164.46,,,75.315
1984,4073.903,4037.613,3136.701,5330.71,3996.035,303.168,2131.464,1501.072,301.313,0.5884208670139625,-109.074,-112.492,3.418,39.656,36.294,9.542,31.964,1.0926323910288203,29.2755,164.583,218.093,8.204,22.542,50.386,167.707,,,79.723
1985,4364.344,4338.979,3369.644,5579.285,4284.716,326.864,2274.439,1615.931,316.39,0.6039562417048062,-121.879,-122.173,0.294,39.484,33.945,7.694,29.871,1.163175725438209,27.97275,184.615,238.369,7.994,20.784,55.084,183.285,,,81.552
1986,4596.588,4579.631,3539.3,5781.967,4499.578,349.868,2356.695,1723.353,284.9,0.6121273262196066,-138.539,-145.081,6.543,40.099,35.745,7.58,32.584,1.121807245768639,15.04,220.414,270.472,9.321,21.719,64.579,205.893,,,82.194
1987,4872.702,4855.215,3735.245,5989.477,4811.392,371.292,2523.622,1847.64,317.973,0.6236345844553707,-151.683,-159.557,7.874,48.597,43.717,8.786,41.407,1.1116270558364023,19.161916666666666,263.394,326.253,11.107,28.921,77.761,248.492,,,84.663
1988,5259.095,5236.438,4019.261,6246.006,5233.436,399.856,2742.499,2002.309,357.471,0.6434929777525029,-114.566,-126.959,12.394,59.746,55.817,12.987,54.516,1.0703907411720444,15.959583333333333,314.754,347.179,12.541,39.516,79.777,267.402,,,86.987
1989,5666.369,5641.58,4326.705,6485.121,5573.59,427.148,2892.834,2119.332,347.166,0.6671741359953037,-93.142,-117.749,24.607,61.796,55.953,7.781,56.138,1.104426929744607,19.590833333333332,368.924,381.781,14.015,39.914,84.632,297.149,,,89.276
1990,5997.836,5963.144,4541.951,6588.974,5867.597,454.688,3012.451,2234.926,341.641,0.6893259861095218,-80.865,-111.037,30.173,64.19,57.989,3.379,59.772,1.1069340737036335,24.492916666666666,394.911,430.521,16.015,41.989,92.807,337.714,,,88.92
1991,6189.716,6158.129,4645.036,6548.808,6065.161,479.628,3074.81,2277.82,376.118,0.7092948823663787,-31.136,-76.937,45.802,57.464,52.271,-2.636,53.524,1.0993476306173595,21.48125,419.108,467.844,14.944,37.143,98.815,369.029,,,86.991
